host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
Joshua,within an hour,>99.0,(78.0-98.0],t,other,f,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,4.83
Letha M.,within a day,>99.0,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
Myaa,NA,NA,>98.0,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
The Tillary Hotel Brooklyn,within an hour,>99.0,(78.0-98.0],f,other,t,Brooklyn,Room in hotel,Private room,<=2.0,<=1.0,<=1.0,NA,>200.0,>12.0,>1.0,0,t,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,0,4.26
Luciana,within an hour,>99.0,<=78.0,f,other,t,Brooklyn,Entire condo,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,5.0
Stay With Vibe,within a few hours,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Kimberly,within a day,<=99.0,<=78.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,0,4.17
Jen,within an hour,>99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,NA,(1.0-2.0],<=100.0,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.85
Julian,NA,NA,<=78.0,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],1,4.79
AFI Apartments,within a few hours,<=99.0,<=78.0,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,1,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,>9.0,0,5.0
Tamra,within a few hours,>99.0,<=78.0,f,Harlem,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,<=2.0,>9.0,0,4.67
Luis,within an hour,>99.0,(78.0-98.0],f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,<=1.0,<=1.0,1,f,>0.73,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Leigh,NA,NA,NA,t,Harlem,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,<=1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,>0.73,<=16.0,(2.0-6.0],<=2.0,<=6.0,0,4.86
Walter,NA,NA,>98.0,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Raanan,within a day,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.4
Urban Furnished,within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.0
Kaitlin,a few days or more,<=99.0,<=78.0,f,other,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Eibhlin,within a few hours,<=99.0,(78.0-98.0],f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
Asijah,NA,NA,NA,f,Astoria,t,Queens,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Nadia,NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,t,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,2.0
Robert,within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,>9.0,0,4.78
Darina,within an hour,>99.0,(78.0-98.0],,Bushwick,t,Brooklyn,Private room in rental unit,Private room,>3.0,>1.0,>1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,4.71
Jeremy,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
John,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Matt & Virginia,NA,NA,NA,f,Astoria,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Conor,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.5
Jennie,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
Frank,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Michael,NA,NA,<=78.0,f,Bushwick,t,Brooklyn,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,3.0
Maya,within a day,<=99.0,<=78.0,f,Greenpoint,t,Brooklyn,Entire home,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,>9.0,0,4.81
Gaia,NA,NA,NA,f,Crown Heights,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.89
Michelle,NA,NA,NA,f,Greenpoint,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,5.0
Emmanuel,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
Selin,NA,NA,NA,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Ian,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
Anne,NA,NA,NA,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
Jennifer,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Brian,NA,NA,NA,f,Upper East Side,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
Noëmi,NA,NA,NA,f,other,t,Manhattan,Private room in condo,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.65
Daniel,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
John Conor,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
Rui,NA,NA,NA,f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.5
Orlando,NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],1,4.05
J,NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.83
Viola,NA,NA,NA,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Caitlin,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
Furkan,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Jarad,NA,NA,NA,f,Bushwick,t,Brooklyn,other,Shared room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,1,4.78
Deena,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
Jennifer,NA,NA,NA,f,Hell's Kitchen,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.35
Jim,NA,NA,NA,f,Upper West Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Sesenu,NA,NA,NA,f,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
Matthew,NA,NA,NA,f,Crown Heights,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Brittany,NA,NA,NA,f,Upper East Side,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Virginia,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
Mark,NA,NA,NA,f,Crown Heights,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Esther,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
Roberta,NA,NA,NA,f,Upper West Side,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
Jacopo,NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
Christian,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Johnathon,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Enrica,NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Irina,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.73
Mary,NA,NA,NA,f,other,f,Queens,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Phyl,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
Samir,NA,NA,NA,f,Astoria,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Steve,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.76
Harrison,NA,NA,NA,f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.67
Alexandre,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Hanna,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Jangho,NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
Kamilah,NA,NA,NA,f,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
Eric,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Carolina,within an hour,>99.0,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.71
Naomi,NA,NA,NA,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.87
Phil,NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.89
Leah,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
Marina,NA,NA,>98.0,f,other,t,Brooklyn,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,>9.0,0,4.0
Carlos E,NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],0,4.0
Wilma,within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,>1.0,(1.0-2.0],<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,4.58
Welcome To Excellent Homes,NA,NA,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Teresa,within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.8
Wendy,within a few hours,>99.0,NA,f,Flushing,f,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,t,>0.73,<=16.0,(2.0-6.0],<=2.0,<=6.0,0,4.86
Mark,within a few hours,>99.0,<=78.0,t,other,t,Queens,other,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.75
Lelis,NA,NA,>98.0,f,other,t,Bronx,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,4.8
Chris,a few days or more,<=99.0,NA,f,Crown Heights,f,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,1,4.75
Paul,within an hour,>99.0,<=78.0,f,other,t,Bronx,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.47
Liz,within an hour,>99.0,(78.0-98.0],f,Long Island City,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Aivars,within an hour,>99.0,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Daniel,NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,1.0
Anil,NA,NA,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Petya,within a few hours,>99.0,(78.0-98.0],t,Astoria,f,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,1,5.0
Abdur Malik,within an hour,>99.0,(78.0-98.0],f,other,t,Brooklyn,Entire home,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,4.0
Stay Awhile,within an hour,>99.0,<=78.0,f,other,t,Queens,Entire condo,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
Mary,within a day,<=99.0,<=78.0,f,other,t,Brooklyn,Private room in home,Private room,(2.0-3.0],<=1.0,<=1.0,>2.0,<=100.0,>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.8
Juan,within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,4.0
Mel,NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.67
Fenix,within a few hours,>99.0,<=78.0,t,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
Gigi,within an hour,<=99.0,(78.0-98.0],t,other,t,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,>1,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.7
Emmett,within a day,<=99.0,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
Paulo,NA,NA,<=78.0,f,Astoria,t,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,5.0
Gina,NA,NA,NA,f,other,f,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Stacey,NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,<=1.0,0,t,>0.73,<=16.0,(2.0-6.0],<=2.0,>9.0,1,4.55
Pamela,within a few hours,>99.0,<=78.0,t,Flushing,f,Queens,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.98
Jennifer,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
Ronny,NA,NA,<=78.0,f,Long Island City,t,Queens,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Anthony,a few days or more,<=99.0,<=78.0,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Sammy,within a few hours,>99.0,<=78.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,1,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
Rinaldo & Jessa,within an hour,>99.0,>98.0,t,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],<=2.0,>9.0,1,5.0
Arthur,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,5.0
